,StoryHeadlines,Story_in_Detail,Category
13,Shame and vindication as Australia digests report of Afghan military killings,"Australian military personnel who spoke out against alleged war crimes in Afghanistan said on Friday they felt vindicated by an inquiry which called for possible prosecution of troops, as the country reacted with shame and anger at the findings' severity.  A report published on Thursday found Australian special forces allegedly killed 39 unarmed prisoners and civilians in Afghanistan, with senior commandos forcing junior soldiers to kill defenceless captives in order to ""blood"" them for combat.  The report recommended referring 19 current and former soldiers for potential prosecution, in a development that prompted anguish in Australia which usually honours its military history with fervour.",Live News
14,Singapore activist faces fine over one-man smiley face sign protest,"Singapore is set to charge an activist with staging a one-man protest without a permit over an incident in which he held up a sign bearing a crudely drawn smiley face outside a police station.  Police told Jolovan Wham, 40, who has had several run-ins with authorities in the city-state, which tightly controls public assembly, the media and free speech, on Thursday that he would be formally charged in court Monday.  Singapore police confirmed Wham had been notified of charges but did not immediately have further comment.",Live News
15,India's total coronavirus infections cross nine million,"India crossed the grim milestone of 9 million coronavirus cases, with 45,882 new infections recorded in the last 24 hours, the health ministry said on Friday.  India is only the second country to cross 9 million coronavirus infections, after the United States, but cases have slowed down in the country after hitting a peak in September.  Deaths rose by 584, with the total now at 132,162, the health ministry said.",Live News
16,"Lithuanian defense minister, senior Pentagon official test positive for COVID-19","Lithuanian Defense Minister Raimundas Karoblis has tested positive for COVID-19 and Anthony Tata, one of several senior U.S. defense officials who met him at the Pentagon last week, also tested positive on Thursday, the Pentagon said.  The Lithuanian embassy told the Pentagon of Karoblis's positive test on Thursday, it added.",Live News
17,South Korea warns of return to tough COVID measures to fight third wave,"South Korea's prime minister on Friday pleaded with the public to avoid social gatherings and warned that tougher measures may be needed if a new wave of coronavirus infections is not quickly contained.  Prime Minister Chung Sye-kyun called for all social gatherings planned for the year-end period to be cancelled, employers to encourage staff to work from home and people aged 60 and over to stay home.  South Korea tightened prevention guidelines on Thursday but concern is growing that a ban on large public gatherings does not go far enough, with bars, nightclubs, religious services and sports events allowed to open with attendance restrictions.",Live News
18,Canadians detained in China get virtual consular visit,Canada's ambassador to China has been allowed to speak virtually to two Canadians held on spying charges.,Live News
19,Superspreader events key driver in Covid-19 pandemic,"At churches, on cruise ships and even in the White House, superspreading events that can sicken dozens, even hundreds, of people have illustrated the potential for the coronavirus to infect in dramatic bursts.",Live News
20,South Australia to end lockdown early after pizza parlour blunder,"South Australia's six-day ""circuit-breaker"" lockdown will be cut short, officials said Friday, blaming a pizza parlour worker who misled contact tracers about how he contracted the virus.",Live News
21,"Mexico marks grim coronavirus milestone, passes 100,000 deaths","Mexico, the most populous country in the Spanish-speaking world, has registered 100,000 confirmed coronavirus deaths within days of passing the grim milestone of one million infections, official data showed on Thursday.  Mexico's official death toll from COVID-19, the respiratory disease caused by the virus, is among the highest worldwide, and in the Americas lags only behind the United States and Brazil.  ""Mexican society had no prior antecedent of an acute, infectious disease that could cause such rapid spread and affect the lives of so many,"" Hugo Lopez-Gatell, the public face of the government's efforts to contain the virus, told reporters on  Thursday evening.",Live News
22,"Taiwan says Trump cabinet member to visit, angering China","The cabinet-level head of the U.S. Environmental Protection Agency, Andrew Wheeler, will visit Taiwan, the island's premier said on Friday, in what will be the third visit by a senior U.S. official since August, drawing anger from Beijing.  China, which claims democratically-run Taiwan as its own territory, reacted with fury when the U.S. Health Secretary Alex Azar came to Taipei in August, followed by U.S. Undersecretary of State Keith Krach in September, sending fighter jets near the island each time.  The Trump administration has ramped up support for Taiwan, including with new arms sales, alarming China.",Live News
23,Georgia affirms Biden's victory as Trump attempts to undermine election,"After a painstaking recount, Georgia officials confirmed on Thursday that President-elect Joe Biden defeated President Donald Trump in the battleground state on Nov. 3, further narrowing the president's dubious effort to overturn the election results.  The result of the six-day hand recount of the state's 5 million ballots had been widely expected, despite baseless allegations from Trump and his allies that Georgia's vote tallies were suspect because of widespread fraud.  Amid a series of losses in court, Trump's re-election campaign has shifted to a new strategy that relies on persuading Republican state legislators in crucial states to ignore the election results and intervene on Trump's behalf, according to three people familiar with the plan.",Live News
24,Former leader Corbyn suspended as Labour MP for three months - Telegraph,"Corbyn was informed that the duration of the suspension could be reviewed depending on his actions, suggesting it could be shortened or extended depending on whether he issued an apology, the report added, citing sources.  Corbyn was suspended from the party in October in light of his comments after a report said the party was responsible for unlawful harassment and discrimination in its handling of allegations of anti-Semitism.  Less than a month after his suspension, on Corbyn was re-admitted to the party Tuesday.",Live News
25,The $100 SingapoRediscovers Vouchers: Who Is Eligible and What You Can Do With It,,Live News
26,Second lockdown would leave Singaporeans 'angsty and fractious': PM Lee,,Live News
27,Lee Suet Fern suspended 15 months by disciplinary body over handling of LKY's will,,Live News
28,"We chat with Kelly Marie Tran and Clark Duke, stars of The Croods: A New Age",,Live News
29,Trump Has Appointed 2 White Nationalists To Government Roles Since Losing The Election,,Live News
30,"Coronavirus: Hong Kong’s fourth wave has started, two top infectious disease experts warn, as more than 30 confirmed and preliminary cases reported",,Live News
31,6 elegant afternoon teas to savour in Singapore,,Live News
32,"Teen who was high on meth slipped hand out of handcuffs, bit cop",,Live News
33,He held up a smiley-face sign in public. Singapore charged him with unlawful assembly,,Live News
34,Singapore could still live with virus curbs for more than a year,,Live News
35,Vatican investigating pope 'liking' photo of Brazilian model in lingerie on Instagram,,Live News
36,Critics roast Rudy Giuliani for apparent hair dye mishap: 'Hire union hair and makeup professionals',,Live News
37,Superspreader events key driver in Covid-19 pandemic,,Live News
38,Man charged for defacing Mother Mary statue wanted to 'beautify' her,,Live News
39,FOOD REVIEW: “I sit at The Halia and wondered if indeed bigger is better”,,Live News
40,Man who allowed 15-year-old girls to smoke meth jailed,,Live News
41,‘She has to finally come to a decision’: GSA chief Emily Murphy faces blowback as nation awaits vote certification,,Live News
42,'Blood on your hands': Polish ruling party boss slams opposition amid protests,,Live News
43,Warning Signs of COPD (Chronic Obstructive Pulmonary Disease),,Live News
44,Protesting the Thai way: with pork barbecue,,Live News
45,How Much Can You Borrow For Your Home Loan?,,Live News
46,Mobile Wallets In Singapore: Complete 2020 Guide,,Live News
47,"Marina Bay Sands celebrates its 10th anniversary with light shows, shopping celebrations",,Live News
48,"Rudy Giuliani's Face Was Oozing On Live TV, And Now We May Know Why",,Live News
49,"Georgia recount confirms Biden victory over Trump, says state election official",,Live News
50,"German vaccine maker gives hope as US virus deaths top 250,000",,Live News
51,Top 3 Mistakes To Avoid When Purchasing a Second-Hand Car,,Live News
52,Black Friday: Amazon Singapore is having a major sale on these Apple AirPods,,Live News
53,Over 900 Midwest Mayo Clinic Staff Diagnosed With Coronavirus In Last 2 Weeks,,Live News
54,Opposites attract: Wild and captive jaguars mate in Argentina to save species,,Live News
55,The story behind Princess Diana's controversial but enduringly popular sapphire engagement ring,,Live News
56,Trump's vaccine team will not brief Biden administration - U.S senators,,Live News
57,"Rape, abuses in palm oil fields linked to top beauty brands",,Live News
58,Singtel launches anti-scam campaign urging public to 'jaga' their data,,Live News
59,US curbs ramped up as emergency vaccine request to be filed,,Live News
60,Taxi to nowhere: virus measures hit London black cab business,,Live News
61,World stocks wobble after Mnuchin pulls plug on Fed stimulus,,Live News
62,Trump to host Michigan lawmakers as he presses dubious effort to overturn election,,Live News
63,India's total coronavirus infections cross nine million,,Live News
64,"Central America faces havoc, more than 30 killed, from latest storm",,Live News
65,Seth Meyers Obliterates Rudy Giuliani's 'Televised Therapy Session',,Live News
66,On The Mic: Keeping an independent cinema alive amid a pandemic,,Live News
0,COMMENT: GE2020 – Singapore’s day of decision and the challenge of a generation,Cherian George and Donald Low argue that the Sengkang Dividend from GE2020 can only be realised if leaders and citizens step forward to support a more participatory and deliberative democracy.,Commentory
1,"COMMENT: I miss physical rallies, but we had our fair share of fun this GE2020","Despite the regulations in place amid the COVID-19 pandemic, young writer Sean Lim still enjoyed the build-up to this year's election.",Commentory
2,"COMMENT: Now the circus is almost over, how do we vote?","Veteran journalist Bertha Henson had ""great hopes that this election will be different"" – in content.",Commentory
3,"COMMENT: GE2020 — Why Singapore may lose, whatever the final score",Cherian George and Donald Low reflect on a negative campaign that could leave many Singaporeans disaffected and the country less prepared for the post-pandemic challenges ahead.,Commentory
4,COMMENT: The dilemmas of a first-time voter,"Do I base my vote on what would benefit me, or do I vote for my loved ones or the “greater good”?",Commentory
5,COMMENT: Low’s departure has accelerated the Workers’ Party’s transition - but at what cost?,Veteran journalist PN Balji argues that pride played the biggest part in former Workers' Party chief Low Thia Khiang's decision to step down.,Commentory
6,COMMENT: PAP should clarify what it means by 'strong mandate',Veteran journalist Bertha Henson argues that the PAP shouldn’t just throw around this “need for strong and clear mandate’’. What does it mean by it? ,Commentory
7,"COMMENT: A voter's responsibility to sieve out the noise, words matter",A first-time voter says he believes that each General Election allows Singaporeans to make a stand about the type of social contract we want.,Commentory
8,COMMENT: Can we have a better report card in constituency broadcasts?,"A meatier political broadcast will go far to educate residents on the importance of town council work which, after all, collects service and conservancy fees from them. ",Commentory
9,COMMENT: Sports has never seemed more ridiculous than right now,"SINGAPORE — With the world being slowly consumed by the battle against COVID-19, sports seems less and less important, and more and more ridiculous, says Chia Han Keong.",Commentory
10,The business must go on: get contingency planning right ,"Businesses cannot wait. They need to consider how their sales and operations may be disrupted by the virus outbreak, and activate business continuity plans.",Commentory
11,COMMENT: GE 2020 is dress rehearsal for Tan Cheng Bock's party,"SINGAPORE — The Progress Singapore Party should look to the general election to be held by 2025, not 2020, as its real test, veteran journalist PN Balji argues.",Commentory
12,"COMMENT - Truths, half-truths, opinions: where does POFMA stand?",SINGAPORE — Veteran Singaporean journalist P N Balji argues that the government's use of a controversial anti-fake news law has gone into grey areas.,Commentory
13,COMMENT: It's time to stop calling football Singapore's national sport,"SINGAPORE —  Call it a national pastime, a national hobby, even a national recreation. But stop calling football “Singapore's national sport” until it regains some semblance of competitiveness, says veteran sports journalist Chia Han Keong.",Commentory
14,COMMENT: SEA Games hosts must not drop the ball on athletes again,"SINGAPORE — The SEA Games organisers owe it to the athlete contingent to ensure that the event is smoothly run, in order for the athletes to perform at their peak, argues veteran sports journalist Chia Han Keong.",Commentory
15,COMMENT: Community needs to act as a shield in suicide prevention,"There is a need for broader community-based intervention strategies in suicide-prevention campaigns, says Dr Mythily Subramaniam, Director, Research, at the Institute of Mental Health.",Commentory
16,COMMENT: Singapore’s e-scooters on footpath ban welcomed but longer bike paths and new mobility solutions needed,The CEO of Beam Mobility Alan Jiang welcomed banning e-scooters on footpaths in Singapore but urged the authorities to expand cycling infrastructure and embrace smart mobility solutions.,Commentory
17,COMMENT: Heng Swee Keat needs to raise his game against Workers' Party,"SINGAPORE — Fumbled. Blind-sided. Whichever sporting analogy you prefer, Deputy Prime Minister and Finance Minister Heng Swee Keat did it during the latest sitting of Parliament on Tuesday (5 November).",Commentory
18,COMMENT: Internet mob 'justice' is no justice at all,"If I could pick the scariest costume imaginable for this Halloween it would have to be the “internet mob”, says Yahoo News Singapore news editor Dhany Osman.",Commentory
19,COMMENT: How AHTC verdict will play out at the General Elections,"SINGAPORE — Veteran journalist PN Balji argues that both the PAP and WP face a tricky path ahead of the elections, in the wake of the AHTC verdict.",Commentory
20,COMMENT: Doubts over e-cigarettes mount in wake of US vaping deaths,"A new medical crisis is gripping the US as 26 deaths and almost 1,300 cases have been reported arising from vaping-related illness within a few months.",Commentory
21,Will Potong Pasir stay or go?,"SINGAPORE — Chiam See Tong, the man synonymous with Potong Pasir SMC, is expected to step down as chief of the Singapore People's Party in October. Will the  constituency go quietly into the night too?",Commentory
22,The history of the Group Representation Constituency,"SINGAPORE — Bertha Henson and Christalle Tay trace the history of the Group Representation Constituency, and the reasons for its genesis.",Commentory
23,COMMENT: PM Lee aims to stamp his legacy,"Prime Minister Lee Hsien Loong is aiming to cement his legacy with his mega projects and steps to fight climate change, argued PN Balji. But certain measures announced at the National Day Rally also show that his government is behind the curve, the media veteran added.",Commentory
24,COMMENT: Embracing the challenges of dyslexia,"Singapore has put in place policies and measures to help people with dyslexia but more can be done in dealing with the multifaceted challenges of the specific learning difficulty, said Geetha Shantha Ram, a director at the Dyslexia Association of Singapore.",Commentory
25,The $100 SingapoRediscovers Vouchers: Who Is Eligible and What You Can Do With It,,Commentory
26,Second lockdown would leave Singaporeans 'angsty and fractious': PM Lee,,Commentory
27,Lee Suet Fern suspended 15 months by disciplinary body over handling of LKY's will,,Commentory
28,"We chat with Kelly Marie Tran and Clark Duke, stars of The Croods: A New Age",,Commentory
29,Trump Has Appointed 2 White Nationalists To Government Roles Since Losing The Election,,Commentory
30,"Coronavirus: Hong Kong’s fourth wave has started, two top infectious disease experts warn, as more than 30 confirmed and preliminary cases reported",,Commentory
31,6 elegant afternoon teas to savour in Singapore,,Commentory
32,"Teen who was high on meth slipped hand out of handcuffs, bit cop",,Commentory
33,He held up a smiley-face sign in public. Singapore charged him with unlawful assembly,,Commentory
34,Singapore could still live with virus curbs for more than a year,,Commentory
35,Vatican investigating pope 'liking' photo of Brazilian model in lingerie on Instagram,,Commentory
36,Critics roast Rudy Giuliani for apparent hair dye mishap: 'Hire union hair and makeup professionals',,Commentory
37,Superspreader events key driver in Covid-19 pandemic,,Commentory
38,Man charged for defacing Mother Mary statue wanted to 'beautify' her,,Commentory
39,FOOD REVIEW: “I sit at The Halia and wondered if indeed bigger is better”,,Commentory
40,Man who allowed 15-year-old girls to smoke meth jailed,,Commentory
41,‘She has to finally come to a decision’: GSA chief Emily Murphy faces blowback as nation awaits vote certification,,Commentory
42,'Blood on your hands': Polish ruling party boss slams opposition amid protests,,Commentory
43,Warning Signs of COPD (Chronic Obstructive Pulmonary Disease),,Commentory
44,Protesting the Thai way: with pork barbecue,,Commentory
45,How Much Can You Borrow For Your Home Loan?,,Commentory
46,Mobile Wallets In Singapore: Complete 2020 Guide,,Commentory
47,"Marina Bay Sands celebrates its 10th anniversary with light shows, shopping celebrations",,Commentory
48,"Rudy Giuliani's Face Was Oozing On Live TV, And Now We May Know Why",,Commentory
49,"Georgia recount confirms Biden victory over Trump, says state election official",,Commentory
50,"German vaccine maker gives hope as US virus deaths top 250,000",,Commentory
51,Top 3 Mistakes To Avoid When Purchasing a Second-Hand Car,,Commentory
52,Black Friday: Amazon Singapore is having a major sale on these Apple AirPods,,Commentory
53,Over 900 Midwest Mayo Clinic Staff Diagnosed With Coronavirus In Last 2 Weeks,,Commentory
54,Opposites attract: Wild and captive jaguars mate in Argentina to save species,,Commentory
55,The story behind Princess Diana's controversial but enduringly popular sapphire engagement ring,,Commentory
56,Trump's vaccine team will not brief Biden administration - U.S senators,,Commentory
57,"Rape, abuses in palm oil fields linked to top beauty brands",,Commentory
58,Singtel launches anti-scam campaign urging public to 'jaga' their data,,Commentory
59,US curbs ramped up as emergency vaccine request to be filed,,Commentory
60,Taxi to nowhere: virus measures hit London black cab business,,Commentory
61,World stocks wobble after Mnuchin pulls plug on Fed stimulus,,Commentory
62,Trump to host Michigan lawmakers as he presses dubious effort to overturn election,,Commentory
63,India's total coronavirus infections cross nine million,,Commentory
64,"Central America faces havoc, more than 30 killed, from latest storm",,Commentory
65,Seth Meyers Obliterates Rudy Giuliani's 'Televised Therapy Session',,Commentory
66,On The Mic: Keeping an independent cinema alive amid a pandemic,,Commentory
0,Greece: 2 private clinics appropriated to treat COVID-19,"Greek authorities are taking over two private health clinics and their staff in northern Greece as the region’s public hospitals are under severe pressure from a surge in coronavirus cases over the past few weeks, the country's Health Ministry said Friday.  The ministry said it had requested beds in private hospitals be made available to the public health system for the treatment of COVID-19 patients, but that “despite the effort, the finding of a mutually acceptable solution was not possible.”  The ministry said that as of Friday it was forcibly appropriating the two clinics and their staff in the northern city of Thessaloniki, Greece’s second largest urban center which is at the center of spiraling cases.",Health
1,AP Photos: Spanish nurses witness grim solitude of COVID-19,"For nurse Marta Fernández, the fall resurgence of COVID-19 in Spain has been less traumatic in medical terms than during the initial spring outbreak. “The worst thing about this pandemic is seeing how patients deal alone with the entire disease process, even with their own death,” says Fernández. Fernández, who has been working at the Hospital del Mar for more than 25 years, is one of the staff who have helped patients deal emotionally with the isolation of being hospitalized with COVID-19.",Health
2,"News18 Afternoon Digest: Biden Announces US Will Rejoin WHO, India's Coronavirus Count Crosses 90 Lakh-mark and Other Top Stories","These are the top stories we are covering this afternoon: President-Elect Biden announces US will rejoin WHO, says China will have to play by the rules, Salman Khan tests negative for Covid-19, actor to shoot for Bigg Boss 14 weekend ka vaar today, ICC changes test championship rules, India Go Down from first to second place, black 'hair dye' drips down Trump lawyer's cheeks as he makes claims about Democrats' vote fraud', entire village in Himachal Pradesh's Lahaul found Covid-19 positive,  In a First for India, signs of Covid-19 herd immunity seen in small Pune population: report, India's Coronavirus count crosses 90 lakh as 48-Day streak of more recoveries than new cases ends.",Health
3,The Latest: Hong Kong to close more schools to fight virus,"Hong Kong has suspended in-person classes for lower primary school students after the city’s top health official said the coronavirus situation in the territory was rapidly deteriorating.  The suspension comes just over a week after kindergartens were ordered to close following an outbreak of upper respiratory tract infections.  Hong Kong confirmed 26 new coronavirus infections on Friday, 21 of which were local cases.",Health
4,The Coronavirus Is Airborne Indoors. But We’re Still Scrubbing Surfaces.,"Scientists increasingly say that there is little to no evidence that contaminated surfaces can spread the virus. In crowded indoor spaces like airports, they say, the virus that is exhaled by infected people and that lingers in the air is a much greater threat.",Health
5,US curbs ramped up as emergency vaccine request to be filed,"Americans were on Friday facing a growing raft of coronavirus restrictions, even as pharma giant Pfizer and partner BioNTech prepared to file an emergency request to roll out their vaccine.",Health
6,Study Claims People Taking Vitamin D 38% Less Likely to Develop Advanced Cancer,A study conducted in the US claims that the risk of developing advanced cancer decreases by 38 percent in those taking vitamin D supplements.,Health
7,"WHO Advises Against Remdesivir Treatment for Covid-19 Patients, Says No Proof It Improves Survival Rate","The advice is another setback for the drug, which grabbed worldwide attention as a potentially effective treatment for COVID-19 in the summer after early trials showed some promise.",Health
8,California imposes nighttime COVID-19 curfew but some resist,"California is imposing a nighttime curfew as its coronavirus figures soar but it will lean heavily on voluntary compliance and sheriffs of some counties say they won’t enforce it.  The curfew is less strict than the near-total ban on nonessential business and travel that Gov. Gavin Newsom imposed in March and which he credited with flattening the rate of COVID-19 cases, despite a summer peak.  The first lockdown affected all residents, day and night, but Dr. Mark Ghaly, the state’s top health officer, said late at night is the time most likely to involve social activities that bring increased risk of infection, particularly if people drink and let down their guard on precautions such as wearing masks and staying a safe distance apart.",Health
9,We've Been Told To Open Windows This Winter. Here's Why,"Prepare the puffer jackets, the government's post-lockdown advice is chilly.",Health
10,Almost a million people inoculated with Chinese Covid-19 vaccine: firm,"Nearly a million people have taken an experimental coronavirus vaccine developed by Chinese company Sinopharm, the firm said, although it has not yet provided any clear clinical evidence of efficacy.",Health
11,Coronavirus LIVE Updates: Fresh Wave in Parts of India Dims Vaccine Cheer; Total Count Past 90 Lakh,"Coronavirus News LIVE Updates: India's coronavirus cases passed nine million on Friday, as the world's second-worst-hit country saw hospitals in the capital New Delhi under pressure and graveyards fill up.",Health
12,India's coronavirus cases pass nine million as Delhi struggles,"India's coronavirus caseload passed nine million on Friday, as hospitals in the capital New Delhi came under increasing pressure and graveyards began to fill up.",Health
13,"In a First for India, Signs of Covid-19 Herd Immunity Seen in Small Pune Population: Report",The Directorate of Health Services had last week warned that the second wave of the pandemic is likely in January- February and asked officials concerned to ramp up testing in the state. While residents have been guided to protect themselves.,Health
14,Superspreader events key driver in Covid-19 pandemic,"At churches, on cruise ships and even in the White House, superspreading events that can sicken dozens, even hundreds, of people have illustrated the potential for the coronavirus to infect in dramatic bursts.",Health
15,"2 Doses of Oxford Covid-19 Vaccine to Cost Maximum Rs 1,000, Says Serum Institute CEO Adar Poonawalla",Serum Institute of India's CEO Adar Poonawalla said the Oxford Covid-19 vaccine should be available for healthcare workers and elderly people by around February 2021 and by April for the general public.,Health
16,Turkey Man Complains of Testicular Pain and Swelling After Testing Positive for Coronavirus,"For a man in Turkey, his mostly asymptomatic infection came with a rare and painful symptom – pain and swelling of his genitals.",Health
17,Asia Today: Australia's Victoria hits 3 weeks without virus,"Australia’s once hard-hit state of Victoria has gone three weeks without a new COVID-19 case for the first time since February.  There are two just active coronavirus cases remaining across Victoria, according to figures released by the health department on Friday.  Victoria went through a prolonged surge of the virus that saw the city of Melbourne locked down, overnight curfews imposed and bans on family gatherings and extended travel outside the city.",Health
18,"Mexico's coronavirus deaths surpass 100,000","Mexico said Thursday its coronavirus death toll had risen above 100,000, becoming the world's fourth country to pass the grim milestone.",Health
19,"Native Americans Are Afraid, Hard-Hit As Coronavirus Spikes In The Great Plains","As COVID-19 skyrockets in the Dakotas, tribes are in a scary situation, with Native Americans five times as likely as whites to be hospitalized with the virus.",Health
20,"Pence gives hopeful outlook on pandemic, but takes no questions","Vice President Mike Pence threw every metaphor he had at the pandemic in the first public briefing of the coronavirus task force since the Nov. 3 election, but at the end he stalked out of the White House briefing room, ignoring shouted questions from the crowd of reporters.",Health
21,Over 900 Midwest Mayo Clinic Staff Diagnosed With Coronavirus In Last 2 Weeks,"“We need everyone in the communities we serve to do their part to limit the spread of COVID-19,” a spokesperson for the health care system said.",Health
22,COVID-19 in Canada: Ontario 'heading in the wrong direction' of COVID-19 wave; Manitoba introduces strict rules for private residences,"The latest COVID-19 news from around Canada on Nov. 19, 2020.",Health
23,"Tiffany Haddish, Dwayne 'The Rock' Johnson and Kevin Hart among celebrities directly impacted by the coronavirus","Kanye West, D.L. Hughley, Madonna and Tom Hanks have all suffered from COVID-19.",Health
24,"Here's When You're Most Infectious With Covid-19, With And Without Symptoms","Asymptomatic people are just as infectious in the early stages, but may clear the virus faster.",Health
25,The $100 SingapoRediscovers Vouchers: Who Is Eligible and What You Can Do With It,,Health
26,Lee Suet Fern suspended 15 months by disciplinary body over handling of LKY's will,,Health
27,Second lockdown would leave Singaporeans 'angsty and fractious': PM Lee,,Health
28,"Coronavirus: Hong Kong’s fourth wave has started, two top infectious disease experts warn, as more than 30 confirmed and preliminary cases reported",,Health
29,Trump Has Appointed 2 White Nationalists To Government Roles Since Losing The Election,,Health
30,6 elegant afternoon teas to savour in Singapore,,Health
31,"We chat with Kelly Marie Tran and Clark Duke, stars of The Croods: A New Age",,Health
32,Singapore could still live with virus curbs for more than a year,,Health
33,"Teen who was high on meth slipped hand out of handcuffs, bit cop",,Health
34,Vatican investigating pope 'liking' photo of Brazilian model in lingerie on Instagram,,Health
35,He held up a smiley-face sign in public. Singapore charged him with unlawful assembly,,Health
36,World stocks wobble after Mnuchin pulls plug on Fed stimulus,,Health
37,‘She has to finally come to a decision’: GSA chief Emily Murphy faces blowback as nation awaits vote certification,,Health
38,Man who allowed 15-year-old girls to smoke meth jailed,,Health
