,Stock_Symbol,Stock_Name,Stock_Price($),Stock_Volume($),Stock_Industry_Category,TRttm,TR2019,TR2018,TR2017,TR2016,CRttm,CR2019,CR2018,CR2017,CR2016,GPttm,GP2019,GP2018,GP2017,GP2016,NIttm,NI2019,NI2018,NI2017,NI2016,TA2019,TA2018,TA2017,TA2016
13,EDPR.LS,"EDP Renováveis, S.A.",17.08,"4,09,227",Energy,"17,94,891","17,94,891","16,78,142","18,29,721","16,52,036","2,80,224","2,80,224","3,26,765","3,29,420","3,06,018","15,14,667","15,14,667","13,51,377","15,00,301","13,46,018",,,,,,"1,76,92,653","1,75,38,710","1,62,23,803","1,67,34,469"
14,OXY,Occidental Petroleum Corporation,12.87,28.936M,Energy,"1,97,59,000","2,03,93,000","1,78,24,000","1,25,08,000","1,00,90,000","1,36,97,000","1,36,97,000","1,05,45,000","95,96,000","94,57,000","66,96,000","66,96,000","72,79,000","29,12,000","6,33,000",0,0,"41,31,000","13,11,000",0,"10,93,30,000","4,38,54,000","4,20,26,000","4,31,09,000"
15,PBR,Petróleo Brasileiro S.A. 0.0 Petrobras,9.07,27.526M,Energy,"7,49,29,000","7,65,89,000","9,55,84,000","8,88,27,000","8,14,05,000","4,33,98,000","4,57,32,000","6,15,17,000","6,01,47,000","5,54,17,000","3,15,31,000","3,08,57,000","3,40,67,000","2,86,80,000","2,59,88,000",0,"78,03,000","74,14,000","1,69,000",0,"22,97,40,000","22,20,68,000","25,13,66,000","24,69,83,000"
16,EOG,"EOG Resources, Inc.",44.93,5.059M,Energy,"1,12,17,341","1,69,41,727","1,71,76,842","1,12,05,978","74,63,002","50,93,667","55,95,799","51,55,059","46,03,009","46,03,770","61,23,674","1,13,45,928","1,20,21,783","66,02,969","28,59,232",0,"27,34,910","34,19,040","25,82,579",0,"3,71,24,608","3,39,34,474","2,98,33,078","2,94,59,433"
17,APC,APC,0,0,Energy,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0
18,SU,Suncor Energy Inc.,15.36,9.717M,Energy,"2,75,34,000","3,83,44,000","3,85,42,000","3,20,51,000","2,68,07,000","2,37,27,000","2,31,34,000","1,98,71,000","1,67,22,000","1,59,94,000","38,07,000","1,52,10,000","1,86,71,000","1,53,29,000","1,08,13,000",0,"28,99,000","32,93,000","44,58,000","4,34,000","8,94,35,000","8,95,79,000","8,94,94,000","8,87,02,000"
19,ENB,Enbridge Inc.,29.08,6.411M,Energy,"5,00,69,000","5,00,69,000","4,63,78,000","4,43,78,000","3,45,60,000","3,43,95,000","3,43,95,000","3,26,47,000","3,18,00,000","2,62,45,000","1,56,74,000","1,56,74,000","1,37,31,000","1,25,78,000","83,15,000","57,05,000","57,05,000","28,82,000","28,59,000","20,69,000","21,73,000","23,72,000","32,67,000","15,73,000"
20,PSX,Phillips 66,60.75,4.061M,Energy,"8,81,34,000","10,72,93,000","11,14,61,000","10,23,54,000","8,42,79,000","7,93,29,000","9,68,70,000","9,92,86,000","8,07,27,000","6,36,36,000","88,05,000","1,04,23,000","1,21,75,000","2,16,27,000","2,06,43,000",0,"30,76,000","55,95,000","51,06,000","15,55,000","5,87,20,000","5,43,02,000","5,43,71,000","5,16,53,000"
21,HAL,Halliburton Company,15.39,12.389M,Energy,"1,63,99,000","2,24,08,000","2,39,95,000","2,06,20,000","1,58,87,000","1,46,43,000","2,01,23,000","2,10,09,000","1,83,55,000","1,50,23,000","17,56,000","22,85,000","29,86,000","22,65,000","8,64,000",0,0,"16,56,000",0,0,"2,53,77,000","2,59,82,000","2,50,85,000","2,70,00,000"
22,WMB,"The Williams Companies, Inc.",20,13.615M,Energy,"77,34,000","82,01,000","86,86,000","80,31,000","74,99,000","33,61,000","37,80,000","45,69,000","40,36,000","34,88,000","43,73,000","44,21,000","41,17,000","39,95,000","40,11,000","2,19,000","8,50,000",0,"21,74,000",0,"4,60,40,000","4,53,02,000","4,63,52,000","4,68,35,000"
23,WFC,Wells Fargo & Company,25.06,43.646M,Financial,"7,42,75,000","8,50,63,000","8,64,08,000","8,71,21,000","8,73,88,000",,,,,,,,,,,"31,82,000","1,95,49,000","2,23,93,000","2,21,83,000","2,19,38,000","1,92,75,55,000","1,89,58,83,000","1,95,17,57,000","1,93,01,15,000"
24,JPM,JPMorgan Chase & Co.,115.25,12.194M,Financial,"11,88,32,000","11,56,27,000","10,90,29,000","9,96,24,000","9,56,68,000",,,,,,,,,,,"2,55,15,000","3,64,31,000","3,24,74,000","2,44,41,000","2,47,33,000","2,68,73,79,000","2,62,25,32,000","2,53,36,00,000","2,49,09,72,000"
25,HSBC,HSBC Holdings plc,25.24,2.198M,Financial,"6,00,34,000","6,80,67,000","6,35,87,000","6,34,39,000","6,08,07,000",,,,,,,,,,,"34,95,000","1,33,47,000","1,98,90,000","1,71,67,000","71,12,000","2,71,51,52,000","2,55,81,24,000","2,52,17,71,000","2,37,49,86,000"
26,BAC,Bank of America Corporation,26.98,53.671M,Financial,"8,77,78,000","9,12,44,000","9,12,47,000","8,73,52,000","8,37,01,000",,,,,,,,,,,"1,94,18,000","2,74,30,000","2,81,47,000","1,82,32,000","1,79,06,000","2,43,40,79,000","2,35,45,07,000","2,28,12,34,000","2,18,77,02,000"
27,C,Citigroup Inc.,51.05,24.868M,Financial,"7,64,41,000","7,42,86,000","7,28,54,000","7,14,49,000","6,98,75,000",,,,,,,,,,,"1,72,13,000","1,94,01,000","1,80,45,000",0,"1,49,12,000","1,95,11,58,000","1,91,73,83,000","1,84,24,65,000","1,79,20,77,000"
28,SAN,"Banco Santander, S.A.",2.72,6.181M,Financial,"3,81,93,000","4,51,64,000","4,37,13,000","5,23,94,000","4,74,05,000",,,,,,,,,,,0,"65,15,000","78,10,000","66,19,000","62,04,000","1,52,26,95,000","1,45,92,71,000","1,44,43,05,000","1,33,91,25,000"
29,MTU,MTU,0,0,Financial,,,,,,,,,,,,,,,,,,,,,,,,
30,RY,Royal Bank of Canada,79.57,"6,63,761",Financial,"4,73,76,000","4,59,26,000","4,25,55,000","4,03,34,000",,,,,,,,,,,,"1,13,86,000","1,28,60,000","1,24,00,000","1,14,28,000",,"1,42,89,35,000","1,33,47,34,000","1,21,28,53,000",
31,WBK,Westpac Banking Corporation,14.14,"3,19,032",Financial,"1,98,90,000","1,98,90,000","2,06,31,000","2,21,52,000","2,15,06,000",,,,,,,,,,,"22,90,000","22,90,000","67,84,000","80,95,000","79,90,000","91,19,46,000","90,66,26,000","87,95,92,000","85,18,75,000"
32,TD,The Toronto0.0Dominion Bank,52.21,1.92M,Financial,"4,17,88,000","4,07,29,000","3,85,28,000","3,58,35,000",,,,,,,,,,,,"96,08,000","1,16,68,000","1,12,62,000","1,03,96,000",,"1,41,52,90,000","1,33,49,03,000","1,27,89,95,000",
33,GS,"The Goldman Sachs Group, Inc.",224.3,2.788M,Financial,"3,91,29,000","3,32,94,000","3,34,16,000","2,95,33,000","2,80,53,000",,,,,,,,,,,"68,70,000","84,66,000","1,04,59,000","42,86,000","73,98,000","99,29,68,000","93,17,96,000","91,67,76,000","86,01,65,000"
34,LYG,Lloyds Banking Group plc,1.83,5.057M,Financial,"3,98,96,000","4,19,11,000","2,20,00,000","3,42,51,000","4,00,77,000",,,,,,,,,,,"18,80,000","43,93,000","59,60,000","56,25,000","38,88,000","83,38,93,000","79,75,98,000","81,21,09,000","81,77,93,000"
35,AXP,American Express Company,114.24,3.093M,Financial,"2,81,60,000","3,08,95,000","2,88,65,000","2,44,24,000","2,54,11,000",,,,,,,,,,,"33,90,000","67,59,000","69,21,000","27,36,000","54,08,000","19,83,21,000","18,86,02,000","18,11,59,000","15,88,93,000"
36,AIG,"American International Group, Inc.",38.55,6.166M,Financial,"4,97,92,000","4,97,92,000","4,74,81,000","4,99,30,000","5,27,54,000",,,,,,,,,,,"41,21,000","41,21,000","1,03,000",0,0,"52,50,64,000","49,19,84,000","49,83,01,000","49,82,64,000"
37,USB,U.S. Bancorp,43.26,5.968M,Financial,"2,30,81,000","2,28,83,000","2,25,21,000","2,18,52,000","2,11,05,000",,,,,,,,,,,"63,86,000","69,14,000","70,96,000","62,18,000","58,88,000","49,54,26,000","46,73,74,000","46,20,40,000","44,59,64,000"
38,UBS,UBS Group AG,14.25,2.549M,Financial,"3,11,69,000","2,89,46,000","2,99,81,000","2,98,35,026","2,77,28,156",,,,,,,,,,,"56,43,000","43,04,000","45,15,000","10,79,982","31,44,815","97,21,83,000","95,84,89,000","93,99,97,331","91,77,44,057"
39,MS,Morgan Stanley,58.81,11.214M,Financial,"4,26,29,000","3,89,26,000","3,77,14,000","3,58,52,000","3,27,11,000",,,,,,,,,,,"98,50,000","90,42,000","87,48,000","61,11,000","59,79,000","89,54,29,000","85,35,31,000","85,17,33,000","81,49,49,000"
40,ITUB,Itaú Unibanco Holding S.A.,5.39,47.083M,Financial,"11,31,47,000","11,31,47,000","10,15,48,000","10,64,44,000","11,47,63,000",,,,,,,,,,,"2,71,13,000","2,71,13,000","2,49,07,000","2,39,03,000","2,32,63,000","1,63,74,81,000","1,55,27,97,000","1,43,49,69,000","1,35,32,41,000"
41,BCS,Barclays PLC,7.35,3.329M,Financial,"2,21,26,000","2,16,32,000","2,11,36,000","2,10,76,000","2,14,51,000",,,,,,,,,,,"35,16,000","43,57,000","34,94,000","35,41,000","32,30,000","1,14,02,29,000","1,13,32,83,000","1,13,32,48,000","1,21,31,26,000"
42,BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",4.03,8.183M,Financial,"2,16,56,000","2,41,91,000","2,37,69,000","2,49,58,000","2,54,99,000",,,,,,,,,,,0,"35,12,000","53,24,000","35,19,000","34,75,000","69,86,90,000","67,66,89,000","69,00,59,000","73,18,56,000"
43,AAPL,Apple Inc.,118.03,76.322M,Computer Hardware And Electronics,"27,38,57,000","27,45,15,000","26,01,74,000","26,55,95,000","22,92,34,000","16,92,77,000","16,95,59,000","16,17,82,000","16,37,56,000","14,10,48,000","10,45,80,000","10,49,56,000","9,83,92,000","10,18,39,000","8,81,86,000","5,84,24,000","5,74,11,000","5,52,56,000","5,95,31,000","4,83,51,000","32,38,88,000","33,85,16,000","36,57,25,000","37,53,19,000"
44,ORCL,Oracle Corporation,56.25,7.515M,Computer Hardware And Electronics,"3,92,17,000","3,90,68,000","3,95,06,000","3,98,31,000","3,77,28,000","78,61,000","79,38,000","79,95,000","80,81,000","74,69,000","3,13,56,000","3,11,30,000","3,15,11,000","3,17,50,000","3,02,59,000","1,02,49,000","1,01,35,000","1,10,83,000","38,25,000","93,35,000","11,54,38,000","10,87,09,000","13,72,64,000","13,49,91,000"
45,IBM,International Business Machines Corporation,116.77,4.466M,Computer Hardware And Electronics,"7,50,30,000","7,71,47,000","7,95,90,000","7,91,39,000","7,99,20,000","3,88,79,000","4,06,59,000","4,26,55,000","4,29,13,000","4,16,25,000","3,61,52,000","3,64,88,000","3,69,36,000","3,62,27,000","3,82,94,000","79,05,000","94,31,000","87,28,000","57,53,000","1,18,72,000","15,21,86,000","12,33,82,000","12,53,56,000","11,74,70,000"
46,INTC,Intel Corporation,45.06,31.681M,Computer Hardware And Electronics,"7,80,98,000","7,19,65,000","7,08,48,000","6,27,61,000","5,93,87,000","3,39,56,000","2,98,25,000","2,71,11,000","2,36,92,000","2,31,96,000","4,41,42,000","4,21,40,000","4,37,37,000","3,90,69,000","3,61,91,000","2,19,47,000","2,10,48,000","2,10,53,000","96,01,000","1,03,16,000","13,65,24,000","12,79,63,000","12,32,49,000","11,33,27,000"
47,CSCO,"Cisco Systems, Inc.",41.32,21.328M,Computer Hardware And Electronics,"4,80,71,000","4,93,01,000","5,19,04,000","4,93,30,000","4,80,05,000","1,72,71,000","1,76,18,000","1,92,38,000","1,87,24,000","1,77,81,000","3,08,00,000","3,16,83,000","3,26,66,000","3,06,06,000","3,02,24,000","1,04,62,000","1,12,14,000","1,16,21,000","1,10,000","96,09,000","9,48,53,000","9,77,93,000","10,87,84,000","12,98,18,000"
48,TSM,Taiwan Semiconductor Manufacturing Company Limited,96.93,8.434M,Computer Hardware And Electronics,"1,29,49,19,636","1,06,99,88,800","1,03,13,61,800","97,74,42,600","94,79,09,200","61,98,23,992","57,72,86,900","53,34,87,500","48,26,16,200","47,30,77,100","67,50,95,644","49,27,01,900","49,78,74,300","49,48,26,400","47,48,32,100","49,98,38,366","35,39,48,000","36,30,52,700","34,49,98,300","33,17,13,700","2,26,47,25,000","2,09,00,31,200","1,99,17,32,000","1,88,62,96,700"
49,QCOM,QUALCOMM Incorporated,147.05,12.125M,Computer Hardware And Electronics,"1,99,99,000","2,35,31,000","2,42,73,000","2,27,32,000","2,22,91,000","86,07,000","92,55,000","85,99,000","1,02,44,000","97,92,000","1,13,92,000","1,42,76,000","1,56,74,000","1,24,88,000","1,24,99,000","27,44,000","51,98,000","43,86,000",0,"24,66,000","3,55,94,000","3,29,57,000","3,26,86,000","6,54,86,000"
50,HPQ,HP Inc.,20.45,8.919M,Computer Hardware And Electronics,"5,67,88,000","5,87,56,000","5,84,72,000","5,20,56,000",,"4,61,06,000","4,75,86,000","4,78,03,000","4,24,78,000",,"1,06,82,000","1,11,70,000","1,06,69,000","95,78,000",,"25,64,000","31,52,000","53,27,000","25,26,000",,"3,34,67,000","3,46,22,000","3,29,13,000",
51,TXN,Texas Instruments Incorporated,153.55,2.998M,Computer Hardware And Electronics,"1,37,35,000","1,43,83,000","1,57,84,000","1,49,61,000","1,33,70,000","50,15,000","52,19,000","55,07,000","53,47,000","51,30,000","87,20,000","91,64,000","1,02,77,000","96,14,000","82,40,000","49,77,000","50,17,000","55,80,000","36,82,000","35,95,000","1,80,18,000","1,71,37,000","1,76,42,000","1,64,31,000"
52,CAJ,Canon Inc.,18.22,"2,41,492",Computer Hardware And Electronics,"3,16,79,77,000","3,59,32,99,000","3,95,19,37,000","4,08,00,15,000","3,40,14,87,000","1,78,30,28,000","1,98,32,66,000","2,11,63,83,000","2,08,73,24,000","1,72,76,54,000","1,38,49,49,000","1,61,00,33,000","1,83,55,54,000","1,99,26,91,000","1,67,38,33,000","6,24,85,000","12,51,05,000","25,27,55,000","24,19,23,000","15,06,50,000","4,76,83,51,000","4,89,94,65,000","5,19,82,91,000","5,13,85,29,000"
53,JD,"JD.com, Inc.",86.25,12.564M,Computer Hardware And Electronics,"60,20,12,634","57,68,88,484","46,20,19,759","36,23,31,754","26,01,21,645","51,32,39,738","49,24,67,391","39,60,66,126","31,15,16,831","22,06,98,727","8,87,72,896","8,44,21,093","6,59,53,633","5,08,14,923","3,94,22,918","59,40,977","1,21,87,255",0,"1,28,764",0,"25,97,23,704","20,91,64,857","18,40,54,966","16,03,73,518"
54,ASML,ASML Holding N.V.,423.81,"5,38,680",Computer Hardware And Electronics,"1,37,60,700","1,18,20,000","1,09,44,000","90,52,800","67,94,752","72,34,600","65,40,200","59,14,800","49,76,100","37,50,272","65,26,100","52,79,800","50,29,200","40,76,700","30,44,480","33,37,200","25,92,300","25,91,600","21,18,500","14,71,894","2,26,29,600","2,01,36,900","1,81,96,400","1,72,05,961"
55,ERIC,Telefonaktiebolaget LM Ericsson (publ),11.97,4.657M,Computer Hardware And Electronics,"22,91,73,000","22,72,16,000","21,08,38,000","20,13,03,000","22,26,08,000","13,92,72,000","14,23,92,000","14,26,38,000","15,67,58,000","15,62,43,000","8,99,01,000","8,48,24,000","6,82,00,000","4,45,45,000","6,63,65,000","1,43,91,000","22,23,000",0,0,"17,16,000","27,63,83,000","26,87,61,000","26,05,44,000","28,33,47,000"
56,SNE,Sony Corporation,88.25,"7,35,709",Computer Hardware And Electronics,"8,29,43,07,000","8,25,98,85,000","8,66,56,87,000","8,54,39,82,000","7,60,32,50,000","6,00,70,65,000","5,92,50,49,000","6,26,31,96,000","6,23,04,22,000","5,66,31,54,000","2,28,72,42,000","2,33,48,36,000","2,40,24,91,000","2,31,35,60,000","1,94,00,96,000","93,50,67,000","58,21,91,000","91,62,71,000","49,07,94,000","7,32,89,000","23,03,93,43,000","20,98,15,86,000","19,06,55,38,000","17,66,05,56,000"
57,AVGO,Broadcom Inc.,380.62,1.352M,Computer Hardware And Electronics,"2,28,91,000","2,25,97,000","2,08,48,000","1,76,36,000",,"1,02,52,000","1,01,14,000","1,01,15,000","91,27,000",,"1,26,39,000","1,24,83,000","1,07,33,000","85,09,000",,"25,10,000","27,24,000","1,22,59,000","16,92,000",,"6,74,93,000","5,01,24,000","5,44,18,000",
58,MU,"Micron Technology, Inc.",60.74,18.734M,Computer Hardware And Electronics,"2,02,49,000","2,14,35,000","2,34,06,000","3,03,91,000","2,03,22,000","1,43,70,000","1,48,83,000","1,27,04,000","1,25,00,000","1,18,86,000","58,79,000","65,52,000","1,07,02,000","1,78,91,000","84,36,000","22,60,000","26,87,000","63,13,000","1,41,35,000","50,89,000","5,36,78,000","4,88,87,000","4,33,76,000","3,53,36,000"
59,GLW,Corning Incorporated,36.09,2.626M,Computer Hardware And Electronics,"1,07,70,000","1,15,03,000","1,12,90,000","1,01,16,000","93,90,000","75,98,000","74,68,000","68,29,000","60,84,000","56,44,000","31,72,000","40,35,000","44,61,000","40,32,000","37,46,000","2,92,000","9,60,000","10,66,000",0,"36,95,000","2,88,98,000","2,75,05,000","2,74,94,000","2,78,99,000"
60,BRCM,7486608,0,0,Computer Hardware And Electronics,,,,,,,,,,,,,,,,,,,,,,,,
61,NXPI,NXP Semiconductors N.V.,148.15,1.218M,Computer Hardware And Electronics,"84,06,000","88,77,000","94,07,000","92,56,000","94,98,000","42,50,000","42,59,000","45,56,000","46,37,000","54,29,000","41,56,000","46,18,000","48,51,000","46,19,000","40,69,000",0,"2,43,000","22,08,000","22,15,000","2,00,000","2,00,16,000","2,15,30,000","2,40,49,000","2,48,98,000"
62,NOK,Nokia Corporation,3.94,27.992M,Computer Hardware And Electronics,"2,22,02,000","2,33,15,000","2,25,63,000","2,31,47,000","2,36,14,000","1,37,30,000","1,49,89,000","1,41,17,000","1,40,08,000","1,51,58,000","84,72,000","83,26,000","84,46,000","91,39,000","84,56,000","7,34,000","7,000",0,0,0,"3,91,28,000","3,95,17,000","4,10,24,000","4,49,01,000"
63,AMAT,"Applied Materials, Inc.",75.71,10.668M,Computer Hardware And Electronics,"1,72,02,000","1,72,02,000","1,46,08,000","1,72,53,000","1,45,37,000","95,10,000","95,10,000","82,22,000","94,36,000","80,05,000","76,92,000","76,92,000","63,86,000","78,17,000","65,32,000","36,19,000","36,19,000","27,06,000","33,13,000","34,34,000","2,23,53,000","1,90,24,000","1,77,73,000","1,94,19,000"
64,WDC,Western Digital Corporation,42.49,3.907M,Computer Hardware And Electronics,"1,66,18,000","1,67,36,000","1,65,69,000","2,06,47,000","1,90,93,000","1,26,91,000","1,29,55,000","1,28,17,000","1,29,42,000","1,30,21,000","39,27,000","37,81,000","37,52,000","77,05,000","60,72,000",0,0,0,"6,75,000","3,97,000","2,56,62,000","2,63,70,000","2,92,35,000","2,98,60,000"
65,WIT,Wipro Limited,5.06,"9,80,048",Computer Hardware And Electronics,"61,20,91,000","61,02,32,000","58,58,45,000","54,48,71,000","55,04,02,000","43,28,93,000","43,60,85,000","41,30,33,000","38,55,75,000","39,15,44,000","17,91,98,000","17,41,47,000","17,28,12,000","15,92,96,000","15,88,58,000","9,63,76,000","9,72,18,000","9,00,31,000","8,00,81,000","8,48,95,000","81,70,62,000","83,31,71,000","76,06,40,000","79,35,16,000"
66,ADI,"Analog Devices, Inc.",133.23,2.359M,Computer Hardware And Electronics,"55,19,980","59,91,065","62,00,942","51,07,503",,"19,10,395","19,77,315","19,67,640","20,45,907",,"36,09,585","40,13,750","42,33,302","30,61,596",,"11,11,929","13,63,011","14,95,432","7,27,259",,"2,13,92,641","2,04,49,779","2,11,41,294",
67,STX,Seagate Technology plc,55.24,2.5M,Computer Hardware And Electronics,"1,02,45,000","1,05,09,000","1,03,90,000","1,11,84,000","1,07,71,000","74,78,000","76,67,000","74,58,000","78,20,000","75,97,000","27,67,000","28,42,000","29,32,000","33,64,000","31,74,000","10,27,000","10,04,000","20,12,000","11,82,000","7,72,000","89,30,000","88,85,000","94,10,000","92,68,000"
68,APH,Amphenol Corporation,125.8,1.393M,Computer Hardware And Electronics,"83,23,900","82,25,400","82,02,000","70,11,300","62,86,400","57,46,700","56,09,400","55,47,100","47,01,400","42,46,400","25,77,200","26,16,000","26,54,900","23,09,900","20,40,000","11,65,100","11,55,000","12,05,000","6,50,500","8,22,900","1,08,15,500","1,00,44,900","1,00,03,900","84,98,700"
69,MSFT,Microsoft Corporation,211.08,28.373M,Computer Software,"14,71,14,000","14,30,15,000","12,58,43,000","11,03,60,000","8,99,50,000","4,66,74,000","4,60,78,000","4,29,10,000","3,83,53,000","3,42,61,000","10,04,40,000","9,69,37,000","8,29,33,000","7,20,07,000","5,56,89,000","4,74,96,000","4,42,81,000","3,92,40,000","1,65,71,000","2,12,04,000","30,13,11,000","28,65,56,000","25,88,48,000","24,10,86,000"
70,GOOGL,Alphabet Inc.,"1,740.64",1.005M,Computer Software,"16,60,30,000","16,18,57,000","13,68,19,000","11,08,55,000","9,02,72,000","7,61,23,000","7,18,96,000","5,95,49,000","4,55,83,000","3,51,38,000","8,99,07,000","8,99,61,000","7,72,70,000","6,52,72,000","5,51,34,000","3,15,34,000","3,43,43,000","3,07,36,000","1,26,62,000","1,94,78,000","27,59,09,000","23,27,92,000","19,72,95,000","16,74,97,000"
71,FB,"Facebook, Inc.",271.97,12.153M,Computer Software,"7,33,57,000","7,06,97,000","5,58,38,000","4,06,53,000","2,76,38,000","1,34,13,000","1,27,70,000","93,55,000","54,54,000","37,89,000","5,99,44,000","5,79,27,000","4,64,83,000","3,51,99,000","2,38,49,000","2,09,58,000","1,84,85,000","2,21,12,000","1,59,34,000","1,02,17,000","13,33,76,000","9,73,34,000","8,45,24,000","6,49,61,000"
